GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Timing Advance(°),Fuel Remaining (Calculated from vehicle profile)(%),Engine Load(%),Engine Load(Absolute)(%),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Fuel Trim Bank 1 Long Term(%),Fuel trim bank 1 sensor 1(%),Fuel Trim Bank 1 Short Term(%),Fuel flow rate/minute(cc/min),Engine RPM(rpm),Actual engine % torque(%),GPS vs OBD Speed difference(km/h),CO₂ in g/km (Instantaneous)(g/km),Litres Per 100 Kilometer(Instant)(l/100km),0-100mph Time(s),Trip average KPL(kpl),Trip average MPG(mpg),Fuel trim bank 1 sensor 3(%),Fuel trim bank 1 sensor 4(%),Fuel Trim Bank 2 Long Term(%),Fuel trim bank 2 sensor 1(%),Fuel trim bank 2 sensor 3(%),Fuel trim bank 2 sensor 2(%),Fuel trim bank 2 sensor 4(%),Fuel Trim Bank 2 Short Term(%),Cost per mile/km (Instant)(€/km),Cost per mile/km (Trip)(€/km),CO₂ in g/km (Average)(g/km),DPF Temperature(°C),Drivers demand engine % torque(%),Volumetric Efficiency (Calculated)(%),EGR Commanded(%),Engine reference torque(Nm),EGR Error(%),Ethanol Fuel %(%),Fuel Rate (direct from ECU)(L/m),Hybrid Battery Charge (%)(%),Fuel Level (From Engine ECU)(%),O2 Sensor1 Equivalence Ratio,O2 Sensor1 Equivalence Ratio(alternate),O2 Sensor2 Equivalence Ratio,O2 Sensor3 Equivalence Ratio,O2 Sensor4 Equivalence Ratio,O2 Sensor5 Equivalence Ratio,O2 Sensor6 Equivalence Ratio,O2 Sensor7 Equivalence Ratio,O2 Sensor8 Equivalence Ratio,O2 Volts Bank 1 sensor 3(V),O2 Volts Bank 1 sensor 4(V),O2 Volts Bank 2 sensor 1(V),O2 Volts Bank 2 sensor 2(V),O2 Volts Bank 2 sensor 3(V),O2 Volts Bank 2 sensor 4(V),Absolute Throttle Position B(%),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Relative Accelerator Pedal Position(%),Barometer (on Android device)(mb),Barometric pressure (from vehicle)(psi),Fuel pressure(psi),Fuel Rail Pressure(psi),Fuel Rail Pressure (relative to manifold vacuum)(psi),Evap System Vapour Pressure(Pa),Air Fuel Ratio(Measured)(:1),Torque(Nm),Horsepower (At the wheels)(hp),Engine kW (At the wheels)(kW),0-100kph Time(s),0-200kph Time(s),0-30mph Time(s),Average trip speed(whilst moving only)(km/h),O2 Sensor8 wide-range Voltage,O2 Sensor7 wide-range Voltage,100-0kph Time(s),80-120kph Time(s),80-100mph Time(s),Exhaust Gas Temperature 1(°C),O2 Sensor6 wide-range Voltage,Mass Air Flow Rate(g/s),Transmission Temperature(Method 2)(°C),O2 Sensor5 wide-range Voltage,O2 Sensor4 wide-range Voltage,60-80mph Time(s),0-60mph Time(s),1/4 mile time(s),60-130mph Time(s),1/8 mile time(s),40-60mph Time(s),60-0mph Time(s),Catalyst Temperature (Bank 1 Sensor 2)(°C),Catalyst Temperature (Bank 2 Sensor 1)(°C),Catalyst Temperature (Bank 2 Sensor 2)(°C),Exhaust Gas Temperature 2(°C),Engine Oil Temperature(°C),Transmission Temperature(Method 1)(°C),Voltage (Control Module)(V),O2 Sensor1 wide-range Voltage,O2 Sensor2 wide-range Voltage,O2 Sensor3 wide-range Voltage,Turbo Boost & Vacuum Gauge(psi),Run time since engine start(s),Fuel cost (trip)(cost),Litres Per 100 Kilometer(Long Term Average)(l/100km)
Tue Apr 25 09:19:05 GMT+02:00 2017,25-apr-2017 09:19:04.755,14.412963189,40.909088093,0.0,4.0,88.8405990600586,76.472374,-0.01915361,9.51934624,-0.2681506,0.01709808,27,49.79877853,35.29411697,14.11764717,0,5.68003273,0,0.78125,-2.34375,11.77229881,996.75,0.0,1,0.0,0.0,0.0,5.61186075,15.85271358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42626265,0.05966745,0.04449401,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.34886742,1035,0.00101334,17.60516739
Tue Apr 25 09:19:05 GMT+02:00 2017,25-apr-2017 09:19:05.260,14.412963189,40.909088093,0.0,4.0,88.8405990600586,76.472374,-0.28730419,9.56723022,-0.55545479,0.01788656,18.5,49.79877853,35.29411697,14.11764717,0,5.68003273,0,0.78125,-2.34375,11.77229881,996.75,0.0,1,0.0,0.0,0.0,5.61186075,15.85271358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42626265,0.05966745,0.04449401,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.34886742,1035,0.00101334,17.60516739
Tue Apr 25 09:19:06 GMT+02:00 2017,25-apr-2017 09:19:05.759,14.412963189,40.909088093,0.0,4.0,88.8205337524414,76.472374,-0.50757074,9.50976944,-0.60333884,0.02298562,18.5,49.79877853,35.29411697,31.37254906,0,5.68003273,0,0.78125,-2.34375,11.77229881,996.75,0.0,1,0.0,0.0,0.0,5.61186075,15.85271358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42626265,0.05966745,0.04449401,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.34886742,1037,0.00101334,17.60516739
Tue Apr 25 09:19:06 GMT+02:00 2017,25-apr-2017 09:19:06.260,14.412963189,40.909088093,0.0,4.0,88.8205337524414,76.472374,-1.28329206,9.94072533,0.48841715,0.02479967,18.5,49.79853058,35.29411697,31.37254906,0.77889043,5.67540455,0,0.78125,-2.34375,21.39758873,2025.5,0.0,1,0.0,128.38510132,0.0,5.28966236,14.94254971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42626265,0.05966745,0.04449401,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.89849091,1037,0.00114717,17.619524
Tue Apr 25 09:19:07 GMT+02:00 2017,25-apr-2017 09:19:06.759,14.412951667,40.909051864,0.94569397,4.0,88.81432342529297,11.622972,-0.4405331,9.54807663,0.33518824,0.01409395,18.5,49.79853058,18.8235302,31.37254906,0.77889043,5.67540455,0,0.78125,-3.90625,21.39758873,2025.5,0.0,6,0.0,128.38510132,0.0,5.28966236,14.94254971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.89849091,1037,0.00114717,17.619524
Tue Apr 25 09:19:07 GMT+02:00 2017,25-apr-2017 09:19:07.260,14.412951667,40.909051864,0.94569397,4.0,88.81432342529297,11.622972,-0.18195933,9.73003578,0.62249243,0.01025837,2,49.79853058,18.8235302,31.37254906,0.77889043,5.67540455,0,0.78125,-3.90625,21.39758873,2025.5,0.0,6,0.0,128.38510132,0.0,5.28966236,14.94254971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.89849091,1037,0.00114717,17.619524
Tue Apr 25 09:19:08 GMT+02:00 2017,25-apr-2017 09:19:07.760,14.412955674,40.909061001,1.2698252,4.0,88.81962585449219,355.65875,-0.06703765,9.79707336,1.21625447,0.02537185,2,49.79853058,18.8235302,17.25490189,0.77889043,5.67540455,0,0,-3.90625,21.39758873,2025.5,0.0,6,0.0,128.38510132,0.0,5.28966236,14.94254971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.89849091,1037,0.00114717,17.619524
Tue Apr 25 09:19:08 GMT+02:00 2017,25-apr-2017 09:19:08.261,14.412955674,40.909061001,1.2698252,4.0,88.81962585449219,355.65875,-0.38307226,9.95030212,0.49799395,0.02329716,2,49.79816437,18.8235302,17.25490189,3.17207599,5.67304277,0,0,-3.90625,31.52454567,2025.5,0.0,6,0.0,31.52443886,0.0,5.15731335,14.56868172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629938,1.09659755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.49390602,1039,0.00134745,17.62685776
Tue Apr 25 09:19:09 GMT+02:00 2017,25-apr-2017 09:19:08.754,14.412955674,40.909061001,0.0,4.0,88.80460357666016,355.65875,0.06703765,9.37569427,1.27371526,0.02958788,2,49.79816437,24.70588303,17.25490189,3.17207599,5.67304277,0,0,-1.5625,31.52454567,948.25,0.0,0.4286294,0.0,31.52443886,0.0,5.15731335,14.56868172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629938,1.09659755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.49390602,1039,0.00134745,17.62685776
Tue Apr 25 09:19:09 GMT+02:00 2017,25-apr-2017 09:19:09.260,14.412955674,40.909061001,0.0,4.0,88.80460357666016,355.65875,-0.19153613,10.00776291,0.63206923,0.01713605,3,49.79816437,24.70588303,17.25490189,3.17207599,5.67304277,0,0,-1.5625,31.52454567,948.25,0.0,0.4286294,0.0,31.52443886,0.0,5.15731335,14.56868172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629938,1.09659755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.49390602,1039,0.00134745,17.62685776
Tue Apr 25 09:19:10 GMT+02:00 2017,25-apr-2017 09:19:09.750,14.412955674,40.909061001,0.0,4.0,88.78814697265625,355.65875,-0.24899697,9.26077175,1.07260239,0.01440458,3,49.79816437,24.70588303,21.56862831,3.17207599,5.67304277,0,-2.34375,-1.5625,31.52454567,948.25,0.0,0.4286294,0.0,31.52443886,0.0,5.15731335,14.56868172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1629938,1.09659755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.49390602,1039,0.00134745,17.62685776
Tue Apr 25 09:19:10 GMT+02:00 2017,25-apr-2017 09:19:10.260,14.412955674,40.909061001,0.0,4.0,88.78814697265625,355.65875,-0.10534488,9.13627338,1.65678763,-0.03442734,3,49.79796982,24.70588303,21.56862831,4.81604815,5.67223501,0,-2.34375,-1.5625,17.30295944,948.25,0.0,0.4286294,0.0,20.76347923,0.0,5.13723898,14.51197433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05456166,0.45486677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3578968,1.8085047,1.3486017,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1041,0.00145493,17.62936783
Tue Apr 25 09:19:11 GMT+02:00 2017,25-apr-2017 09:19:10.749,14.412955674,40.909061001,0.0,4.0,88.76593780517578,355.65875,0.48841715,10.80263805,-0.38307226,0.02529422,3,49.79796982,27.84313774,21.56862831,4.81604815,5.67223501,0,-2.34375,-1.5625,17.30295944,758.5,0.0,1,0.0,20.76347923,0.0,5.13723898,14.51197433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05456166,0.45486677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1041,0.00145493,17.62936783
Tue Apr 25 09:19:11 GMT+02:00 2017,25-apr-2017 09:19:11.259,14.412955674,40.909061001,0.0,4.0,88.76593780517578,355.65875,0.45968673,10.48660374,-0.4405331,0.02020152,4.5,49.79796982,27.84313774,21.56862831,4.81604815,5.67223501,0,-2.34375,-2.34375,17.30295944,758.5,0.0,1,0.0,20.76347923,0.0,5.13723898,14.51197433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05456166,0.45486677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1041,0.00145493,17.62936783
Tue Apr 25 09:19:12 GMT+02:00 2017,25-apr-2017 09:19:11.754,14.412955674,40.909061001,0.0,4.0,88.76417541503906,355.65875,0.60333884,10.82179165,-0.4405331,0.03321544,4.5,49.79796982,27.84313774,22.35294151,4.81604815,5.67223501,0,-1.5625,-2.34375,17.30295944,758.5,0.0,1,0.0,20.76347923,0.0,5.13723898,14.51197433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05456166,0.45486677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1041,0.00145493,17.62936783
Tue Apr 25 09:19:12 GMT+02:00 2017,25-apr-2017 09:19:12.255,14.412955674,40.909061001,0.0,4.0,88.76417541503906,355.65875,0.5363012,10.79306126,-0.33518824,0.01704291,4.5,49.7978096,27.84313774,22.35294151,1.20417082,5.66802788,0,-1.5625,-2.34375,13.84054279,758.5,0.0,1,0.0,83.04296875,0.0,4.91873503,13.89473248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08288482,0.36323473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1043,0.00154158,17.64245415
Tue Apr 25 09:19:13 GMT+02:00 2017,25-apr-2017 09:19:12.749,14.412955674,40.909061001,0.0,4.0,88.76261901855469,355.65875,-1.043872,9.60553741,-0.15322891,0.01545766,4.5,49.7978096,27.84313774,22.35294151,1.20417082,5.66802788,0,-1.5625,-2.34375,13.84054279,783,0.0,0,0.0,83.04296875,0.0,4.91873503,13.89473248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08288482,0.36323473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1043,0.00154158,17.64245415
Tue Apr 25 09:19:13 GMT+02:00 2017,25-apr-2017 09:19:13.260,14.412955674,40.909061001,0.0,4.0,88.76261901855469,355.65875,-0.08619126,9.47146225,-0.4309563,0.01597668,-3,49.7978096,27.84313774,22.35294151,1.20417082,5.66802788,0,-1.5625,1.5625,13.84054279,783,0.0,0,0.0,83.04296875,0.0,4.91873503,13.89473248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08288482,0.36323473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1043,0.00154158,17.64245415
Tue Apr 25 09:19:14 GMT+02:00 2017,25-apr-2017 09:19:13.750,14.412955674,40.909061001,0.0,4.0,88.76152038574219,355.65875,-1.19710088,8.88727665,-1.98239899,0.02819793,-3,49.7978096,27.84313774,22.35294151,1.20417082,5.66802788,0,3.90625,1.5625,13.84054279,783,0.0,0,0.0,83.04296875,0.0,4.91873503,13.89473248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08288482,0.36323473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.76871681,1043,0.00154158,17.64245415
Tue Apr 25 09:19:14 GMT+02:00 2017,25-apr-2017 09:19:14.261,14.412955674,40.909061001,0.0,4.0,88.76152038574219,355.65875,-1.17794728,9.47146225,-1.71424842,0.02729596,-3,49.79756546,27.84313774,50.58823395,0,5.66777372,0,3.90625,1.5625,21.01117706,783,0.0,0,0.0,0.0,0.0,4.90640736,13.8599081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,∞,0.39484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.44811296,1045,0.00167572,17.64324379
Tue Apr 25 09:19:15 GMT+02:00 2017,25-apr-2017 09:19:14.748,14.412955674,40.909061001,0.0,4.0,88.76080322265625,355.65875,-3.31357527,9.73961258,-1.7717092,0.0628624,-3,49.79756546,45.09804153,50.58823395,0,5.66777372,0,3.90625,1.5625,21.01117706,3799.75,0.0,9,0.0,0.0,0.0,4.90640736,13.8599081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,∞,0.39484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8673315,4.73175049,3.52846575,0.0,0.0,0.0,4.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.44811296,1045,0.00167572,17.64324379
Tue Apr 25 09:19:15 GMT+02:00 2017,25-apr-2017 09:19:15.261,14.412955674,40.909061001,0.0,4.0,88.76080322265625,355.65875,-3.06457806,9.69172859,-0.76614451,0.0878498,29,49.79756546,45.09804153,50.58823395,0,5.66777372,0,3.90625,5.46875,21.01117706,3799.75,0.0,9,0.0,0.0,0.0,4.90640736,13.8599081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,∞,0.39484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8673315,4.73175049,3.52846575,0.0,0.0,0.0,4.4000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.44811296,1045,0.00167572,17.64324379
